t_name,t_budget,t_teamprice,t_members,t_rank,p_name,p_price,p_lastprice,p_owned,p_rank
teamA,1000000.0,100600.0,11.0,,Patrica,3333333,10000,teamA,1
teamB,1000001.0,322222.0,11.0,,Humberto,10000,10000,teamB,2
teamC,1000002.0,110000.0,11.0,,Octavio,10000,10000,teamC,3
teamD,1000003.0,110000.0,11.0,,Pamela,10000,10000,teamD,4
teamE,1000004.0,100500.0,11.0,,Erica,10000,10000,teamE,5
,,,,,Harriet,10000,10000,teamA,6
,,,,,Shawna,10000,10000,teamB,7
,,,,,Karyn,10000,10000,teamC,8
,,,,,Luella,10000,10000,teamD,9
,,,,,Elsa,10000,10000,teamE,10
,,,,,Marcia,10000,10000,teamA,11
,,,,,Brigitte,10000,10000,teamB,12
,,,,,Sherwood,10000,10000,teamC,13
,,,,,Everette,10000,10000,teamD,14
,,,,,Brock,500,10000,teamE,15
,,,,,Winfred,10000,10000,teamA,16
,,,,,Natasha,10000,10000,teamB,17
,,,,,Natalie,10000,10000,teamC,18
,,,,,Elbert,10000,10000,teamD,19
,,,,,Krista,10000,10000,teamE,20
,,,,,Reinaldo,10000,10000,teamA,21
,,,,,Marlon,10000,10000,teamB,22
,,,,,Wilton,10000,10000,teamC,23
,,,,,Annabelle,10000,10000,teamD,24
,,,,,Kip,10000,10000,teamE,25
,,,,,Kate,10000,10000,teamA,26
,,,,,Frank,222222,10000,teamB,27
,,,,,Raleigh,10000,10000,teamC,28
,,,,,Corine,10000,10000,teamD,29
,,,,,Leanna,10000,10000,teamE,30
,,,,,Nelson,10000,10000,teamA,31
,,,,,Rosemary,10000,10000,teamB,32
,,,,,Deborah,10000,10000,teamC,33
,,,,,Royal,10000,10000,teamD,34
,,,,,Hank,10000,10000,teamE,35
,,,,,Troy,10000,10000,teamA,36
,,,,,Larry,10000,10000,teamB,37
,,,,,Marina,10000,10000,teamC,38
,,,,,Claud,10000,10000,teamD,39
,,,,,Kelvin,10000,10000,teamE,40
,,,,,Homer,10000,10000,teamA,41
,,,,,Pansy,10000,10000,teamB,42
,,,,,Wanda,10000,10000,teamC,43
,,,,,Kenny,10000,10000,teamD,44
,,,,,Sallie,10000,10000,teamE,45
,,,,,Marisa,10000,10000,teamA,46
,,,,,Tina,10000,10000,teamB,47
,,,,,Sara,10000,10000,teamC,48
,,,,,Terry,10000,10000,teamD,49
,,,,,Stanley,10000,10000,teamE,50
,,,,,Shad,600,10000,teamA,51
,,,,,Lula,10000,10000,teamB,52
,,,,,Sheena,10000,10000,teamC,53
,,,,,Tammy,10000,10000,teamD,54
,,,,,Marc,10000,10000,teamE,55
